tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	bed_dip	bed_dip_direction	citations	composite_depth	conglomerate_test	contact_test	core_depth	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	elevation	external_database_ids	geographic_precision	geologic_classes	geologic_types	height	instrument_codes	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	magn_mass	magn_volume	method_codes	paleolat	paleolon	result_quality	result_type	samples	scientists	site	site_alternatives	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
0.96			0.02	Ma				Valet et al. 1999						155; 155:60. ME2, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2377]		Extrusive:Igneous	Lava Flow			0.0000295	0.0000012	4.1		3	28.67	Basalt	Canary Islands	342.17			LP-PI-ALT-PTRM:LP-PI-TRM	28.67			i			155_60. ME2				5.86E+22	3	2.38E+21	6.04E+22	3	2.46E+21	11.5	7.9	-81.6	266.2	
0.17				Ma				Zhu et al. 1990						160; 160:Datong volcano SHB, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2383]		Metamorphic	Baked Contact			0.0000525	100	100		9	40.2	Not Specified	China	113.4			LP-PI-TRM	40.2			i			160_Datong volcano SHB				9.04E+22	9		1E+23	9		8.4	7.8	74.5	355	
0.19				Ma				Zhu et al. 1990						160; 160:Datong volcano TSB, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2390]		Extrusive:Igneous	Lava Flow			0.0000585	100	100		10	40.2	Not Specified	Datong volcanics	113.4			LP-PI-TRM	40.2			i			160_Datong volcano TSB				1.01E+23	10		1.01E+23	10		9.1	6.9	80.7	200.8	
2.14			0.06	Ma				Carlut et al. 1999						161; 161:Gamarri GA02, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2391]		Extrusive:Igneous	Lava Flow			0.0000239	0.0000047	19.7		2	11.62	Basalt	Gamarri	41.65			DA-ALT-V:LP-PI-ALT-PTRM:LP-PI-TRM	11.62			i			161_Gamarri GA02				5.83E+22	2	1.15E+22	6.16E+22	2	1.21E+22	0	0	-76	358.7	
2.07			0.05	Ma				Carlut et al. 1999						161; 161:Gamarri GA12, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2397]		Extrusive:Igneous	Lava Flow			0.0000451	0.0000102	22.6		3	11.62	Basalt	Gamarri	41.65			LP-PI-ALT-PTRM:LP-PI-TRM	11.62			i			161_Gamarri GA12				1.1E+23	3	2.49E+22	1.16E+23	3	2.63E+22	0	0	-76.5	24.3	
2.07			0.05	Ma				Carlut et al. 1999						161; 161:Gamarri GB18, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2408]		Extrusive:Igneous	Lava Flow			0.0000203	0.0000033	16.3		4	11.62	Basalt	Gamarri	41.65			DA-ALT-V:LP-PI-ALT-PTRM:LP-PI-TRM	11.62			i			161_Gamarri GB18				4.95E+22	4	8.04E+21	4.9E+22	4	7.96E+21	0	0	62.2	192	
3.12				Ma				Laj et al. 2000						162; 162:HN09, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2411]		Extrusive:Igneous	Lava Flow			0.0000323	100	100		1	21.56	Basalt	Hawaii	201.75			LP-PI-ALT-PTRM:LP-PI-TRM	21.56			i			162_HN09				7.03E+22	1		6.66E+22	1		6.5	3.5	85.4	224.9	
3.12				Ma				Laj et al. 2000						162; 162:HN14, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2414]		Extrusive:Igneous	Lava Flow			0.0000435	100	100		1	21.56	Basalt	Hawaii	201.75			LP-PI-ALT-PTRM:LP-PI-TRM	21.56			i			162_HN14				9.47E+22	1		1.1E+23	1		13.4	9.8	70.5	339.8	
3.16				Ma				Laj et al. 2000						162; 162:HN53, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2417]		Extrusive:Igneous	Lava Flow			0.0000301	100	100		1	21.56	Basalt	Hawaii	201.75			LP-PI-ALT-PTRM:LP-PI-TRM	21.56			i			162_HN53				6.55E+22	1		6.9E+22	1		6.6	4.2	84.9	347.3	
3.17				Ma				Laj et al. 2000						162; 162:HN56, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2418]		Extrusive:Igneous	Lava Flow			0.0000377	100	100		1	21.56	Basalt	Hawaii	201.75			LP-PI-ALT-PTRM:LP-PI-TRM	21.56			i			162_HN56				8.21E+22	1		9.11E+22	1		4.1	2.8	81	21.7	
3.02				Ma				Laj et al. 2000						162; 162:KE06, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2420]		Extrusive:Igneous	Lava Flow			0.000043	100	100		1	21.57	Basalt	Hawaii	201.77			LP-PI-ALT-PTRM:LP-PI-TRM	21.57			i			162_KE06				9.36E+22	1		9.47E+22	1		4.7	2.8	65.8	114.4	
2.98				Ma				Laj et al. 2000						162; 162:KE09, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2421]		Extrusive:Igneous	Lava Flow			0.000028	0.0000062	22.1		4	21.57	Basalt	Hawaii	201.77			LP-PI-ALT-PTRM:LP-PI-TRM	21.57			i			162_KE09				6.1E+22	4	1.35E+22	6.84E+22	4	1.51E+22	6	4.2	79.8	16.2	
2.1				Ma				Laj et al. 2000						162; 162:KO13, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2428]		Extrusive:Igneous	Lava Flow			0.0000403	0.000002	5		3	21.38	Basalt	Hawaii	202.1			LP-PI-ALT-PTRM:LP-PI-TRM	21.38			i			162_KO13				8.8E+22	3	4.37E+21	8.8E+22	3	4.37E+21					
3.22				Ma				Laj et al. 2000						162; 162:KP01, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2437]		Extrusive:Igneous	Lava Flow			0.0000168	0.0000011	6.5		3	21.58	Basalt	Hawaii	201.72			LP-PI-ALT-PTRM:LP-PI-TRM	21.58			i			162_KP01				3.66E+22	3	2.4E+21	4.33E+22	3	2.83E+21	3.7	2.8	65	62.4	
3.93				Ma				Laj et al. 2000						162; 162:OKP01, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2439]		Extrusive:Igneous	Lava Flow			0.0000288	0.0000076	26.4		5	21.49	Basalt	Hawaii	201.77			LP-PI-ALT-PTRM:LP-PI-TRM	21.49			i			162_OKP01				6.28E+22	5	1.66E+22	6.23E+22	5	1.65E+22	3.6	2.1	-88.9	322.7	
3.27				Ma				Laj et al. 2000						162; 162:PM10, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2444]		Extrusive:Igneous	Lava Flow			0.0000384	100	100		2	21.44	Basalt	Hawaii	201.82			LP-PI-ALT-PTRM:LP-PI-TRM	21.44			i			162_PM10				8.37E+22	2		8.31E+22	2		4.8	2.8	-74.2	297.2	
3.28				Ma				Laj et al. 2000						162; 162:PM11, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2445]		Extrusive:Igneous	Lava Flow			0.0000205	100	100		2	21.44	Basalt	Hawaii	201.82			LP-PI-ALT-PTRM:LP-PI-TRM	21.44			i			162_PM11				4.47E+22	2		4.35E+22	2		12.3	7	-73.3	302.3	
3.28			0.11	Ma				Laj et al. 2000						162; 162:WT14, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2450]		Extrusive:Igneous	Lava Flow			0.0000127	100	100		1	21.49	Basalt	Hawaii	201.77			LP-PI-ALT-PTRM:LP-PI-TRM	21.49			i			162_WT14				2.77E+22	1		2.93E+22	1		0	0	56.7	293.8	
0.000281				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1669 AD, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2463]		Extrusive:Igneous	Lava Flow			0.0000366	0.0000007	1.9			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1669 AD				6.49E+22		1.24E+21	6.22E+22		1.19E+21	4.7	3.1	85.3	338.2	
0.00017				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1780 AD, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2466]		Extrusive:Igneous	Lava Flow			0.0000488	0.0000075	15.4			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1780 AD				8.66E+22		1.33E+22	8.52E+22		1.31E+22	3.8	2.6	80.7	296.5	
0.000107				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1843 AD, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2468]		Extrusive:Igneous	Lava Flow			0.0000453	0.0000013	2.9			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1843 AD				8.04E+22		2.31E+21	8.26E+22		2.37E+21	2.7	2.1	78.4	277.3	
0.000027				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1923 AD, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2472]		Extrusive:Igneous	Lava Flow			0.0000482	0.0000058	12			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1923 AD				8.55E+22		1.03E+22	9.21E+22		1.11E+22	4	3.4	83.6	216.1	
0.000022				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1928 AD, VADM calculated using present site lat.														PINT[2473]		Extrusive:Igneous	Lava Flow			0.000044	0.0000116	26.4			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1928 AD				7.81E+22										
0				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1964 AD, VADM calculated using present site lat.														PINT[2478]		Extrusive:Igneous	Lava Flow			0.0000394	0.0000016	4.1			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1964 AD				6.99E+22										
0				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1981 AD, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2480]		Extrusive:Igneous	Lava Flow			0.0000435	0.0000025	5.7			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1981 AD				7.72E+22		4.44E+21	8.82E+22		5.07E+21	2.9	2.8	79.4	195.3	
0				Ma				Rolph & Shaw 1986						163; 163:Mt Etna 1983 AD, VADM calculated using present site lat.														PINT[2481]		Extrusive:Igneous	Lava Flow			0.0000419	0.0000024	5.7			37.6	Basalt	Sicily	14.3			LP-PI-ALT-AFARM:LP-PI-TRM	37.6			i			163_Mt Etna 1983 AD				7.43E+22										
3.6			0.06	Ma				Goguitchaichvili et al. 2001						167; 167:Thoki 11Y, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2496]		Extrusive:Igneous	Lava Flow			0.0000192	0.0000052	27.1		3	41.48	Basalt	Georgia	43.38			LP-PI-ALT-PTRM:LP-PI-TRM	41.48			i			167_Thoki 11Y				3.26E+22	3	8.82E+21	3.16E+22	3	8.56E+21	18.2	12.9	-84.8	166.9	
3.6			0.06	Ma				Goguitchaichvili et al. 2001						167; 167:Thoki 13Y, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2500]		Extrusive:Igneous	Lava Flow			0.0000239	0.0000016	6.7		2	41.48	Basalt	Georgia	43.38			LP-PI-ALT-PTRM:LP-PI-TRM	41.48			i			167_Thoki 13Y				4.05E+22	2	2.71E+21	3.93E+22	2	2.63E+21	4.6	3.2	-86.6	188.4	
3.6			0.06	Ma				Goguitchaichvili et al. 2001						167; 167:Thoki 14Y, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2501]		Extrusive:Igneous	Lava Flow			0.0000159	0.0000048	30.2		2	41.48	Basalt	Georgia	43.38			LP-PI-ALT-PTRM:LP-PI-TRM	41.48			i			167_Thoki 14Y				2.7E+22	2	8.14E+21	2.74E+22	2	8.27E+21	2.6	2.1	-88.6	49.7	
0.01				Ma				Morales et al. 2001						169; 169:JE, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[2518]		Extrusive:Igneous	Lava Flow			0.0000594	0.0000159	26.8		4	19.04	Basalt	Mexican volcanics	260.69			LP-PI-ALT-PTRM:LP-PI-TRM	19.04			i			169_JE				1.34E+23	4	3.57E+22	1.44E+23	4	3.86E+22	3.4	2.2	82	51.3	
0.55			0.4	Ma				Schnepp & Hradetzky 1994						97; 97:RO, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[1416]		Extrusive:Igneous	Lava Flow			0.0000336	0.0000014	4.2		5	50.27	Basalt	Eifel volcanics	6.63			LP-PI-ALT-PTRM:LP-PI-TRM	50.27			i			97_RO				5.21E+22	5	2.17E+21	4.57E+22	5	1.9E+21	23.4	9.7	70.1	22.7	
0.4			0.4	Ma				Schnepp & Hradetzky 1994						97; 97:WO, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[1425]		Extrusive:Igneous	Lava Flow			0.0000544	0.0000029	5.3		5	50.25	Basalt	Eifel volcanics	6.65			LP-PI-ALT-PTRM:LP-PI-TRM	50.25			i			97_WO				8.43E+22	5	4.5E+21	8.48E+22	5	4.52E+21	6.5	5.5	80.3	94.3	
0.14			0.002	Ma				Tric et al. 1994						99; 99:12:00, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[1436]		Extrusive:Igneous	Lava Flow			0.0000291	0.0000006	2.1		2	37.8	Basalt	Italy	14.9			LP-PI-ALT-PTRM:LP-PI-TRM	37.8			i			99_12				5.15E+22	2	1.06E+21	6.45E+22	2	1.33E+21	5.9	6.4	72.1	184.1	
0.06			0.002	Ma				Tric et al. 1994						99; 99:02:00, VADM calculated using present site lat.														PINT[1429]		Extrusive:Igneous	Lava Flow			0.000045	0.0000061	13.6		1	37.8	Basalt	Italy	14.9			LP-PI-ALT-PTRM:LP-PI-TRM	37.8			i			99_2				7.96E+22	1		8E+22							
0.1			0.004	Ma				Tric et al. 1994						99; 99:07:00, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[1433]		Extrusive:Igneous	Lava Flow			0.000031	0.000033	106.5		4	37.8	Basalt	Italy	14.9			LP-PI-ALT-PTRM:LP-PI-TRM	37.8			i			99_7				5.49E+22	4	5.84E+22	5.77E+22	4	6.14E+22	5.3	4.3	75.2	115.4	
0.37			0.37	Ma				Borisova 1986						9; 9:Kuriin flow, VADM calculated using present site lat.														PINT[140]		Igneous	Not Specified			0.000054	0.0000045	8.3		10	41	Dolerite	Kuriin flow	44			LP-PI-TRM	41			i			9_Kuriin flow				9.21E+22	10									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:2748-3, VADM calculated using present site lat.														PINT[6065]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000392	0.0000011	2.8		5	9.6452	Basalt	East Pacific Rise	255.7424			LP-PI-ALT-PTRM:LP-PI-TRM	9.6452			i			500_2748-3				9.72E+22	5									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:2770-1, VADM calculated using present site lat.														PINT[6024]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000473	0.0000004	0.8		2	9.8354	Basalt	East Pacific Rise	255.7			LP-PI-ALT-PTRM:LP-PI-TRM	9.8354			i			500_2770-1				1.17E+23	2									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:3023-1, VADM calculated using present site lat.														PINT[6167]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000341	100	100		1	9.832	Basalt	East Pacific Rise	255.7099			LP-PI-ALT-PTRM:LP-PI-TRM	9.832			i			500_3023-1				8.44E+22	1									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:3029-5, VADM calculated using present site lat.														PINT[6166]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000407	100	100		1	9.8318	Basalt	East Pacific Rise	255.7098			LP-PI-ALT-PTRM:LP-PI-TRM	9.8318			i			500_3029-5				1.01E+23	1									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:3784-3, VADM calculated using present site lat.														PINT[6083]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000374	0.0000013	3.5		3	9.8337	Basalt	East Pacific Rise	255.7234			LP-PI-ALT-PTRM:LP-PI-TRM	9.8337			i			500_3784-3				9.26E+22	3									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:3963-6, VADM calculated using present site lat.														PINT[6073]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000445	0.0000011	2.5		2	9.8417	Basalt	East Pacific Rise	255.7235			LP-PI-ALT-PTRM:LP-PI-TRM	9.8417			i			500_3963-6				1.1E+23	2									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:ARC307, VADM calculated using present site lat.														PINT[6177]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000398	100	100		1	9.8668	Basalt	East Pacific Rise	255.6962			LP-PI-ALT-PTRM:LP-PI-TRM	9.8668			i			500_ARC307				9.85E+22	1									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:ARC310, VADM calculated using present site lat.														PINT[6010]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000377	0.0000001	0.3		2	9.867	Basalt	East Pacific Rise	255.7081			LP-PI-ALT-PTRM:LP-PI-TRM	9.867			i			500_ARC310				9.33E+22	2									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:ARC389, VADM calculated using present site lat.														PINT[6009]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000248	0.0000001	0.4		3	9.8254	Basalt	East Pacific Rise	255.6874			LP-PI-ALT-PTRM:LP-PI-TRM	9.8254			i			500_ARC389				6.14E+22	3									
0.036			0.037	Ma				Bowles et al. 2006						500; 500:ARC461H, VADM calculated using present site lat.														PINT[6120]		Extrusive : Submarine:Igneous	Chilled Margin			0.0000417	0.0000024	5.8		6	9.8753	Basalt	East Pacific Rise	255.7383			LP-PI-ALT-PTRM:LP-PI-TRM	9.8753			i			500_ARC461H				1.03E+23	6									
4.5			0.5	Ma				Roberts & Shaw 1984						62; 62:R001A, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[746]		Extrusive:Igneous	Lava Flow			0.0000681	0.0000013	1.9		2	65	Not Specified	Iceland	345			LP-PI-ALT-AFARM:LP-PI-TRM	65			i			62_R001A				9.44E+22	2	1.8E+21	9.22E+22	2	1.76E+21	0	0	-70.6	110.6	
4.5			0.5	Ma				Roberts & Shaw 1984						62; 62:R020, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[749]		Extrusive:Igneous	Lava Flow			0.0000903	0.0000048	5.3		1	65	Not Specified	Iceland	345			LP-PI-ALT-AFARM:LP-PI-TRM	65			i			62_R020				1.25E+23	1	6.66E+21	1.19E+23	1	6.34E+21	0	0	-77.5	188.3	
3.5			0.5	Ma				Roberts & Shaw 1984						62; 62:T009F, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[764]		Extrusive:Igneous	Lava Flow			0.000114	0.0000127	11.1		1	65	Not Specified	Iceland	344.8			LP-PI-ALT-AFARM:LP-PI-TRM	65			i			62_T009F				1.59E+23	1	1.76E+22	1.61E+23	1	1.79E+22	0	0	-81.9	262.1	
2.1			0.5	Ma				Roberts & Shaw 1984						62; 62:V010, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[774]		Extrusive:Igneous	Lava Flow			0.000199	0.0000246	12.4		1	64.9	Not Specified	Iceland	344.7			LP-PI-ALT-AFARM:LP-PI-TRM	64.9			i			62_V010				2.76E+23	1	3.41E+22	2.75E+23	1	3.4E+22	0	0	75.7	57.1	
2.1			0.5	Ma				Roberts & Shaw 1984						62; 62:V019, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[777]		Extrusive:Igneous	Lava Flow			0.0000554	0.0000045	8.1		1	64.9	Not Specified	Iceland	344.7			LP-PI-ALT-AFARM:LP-PI-TRM	64.9			i			62_V019				7.69E+22	1	6.24E+21	7.28E+22	1	5.91E+21	0	0	62.6	12.6	
1			1	Ma				Sasajima & Maenaka 1969						64; 64:Kuju region DH, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[793]		Extrusive:Igneous	Lava Flow			0.0000496	0.0000065	13.1		4	33.1	Not Specified	Japan	131.2			LP-PI-TRM	33.1			i			64_Kuju region DH				9.3E+22	4	1.22E+22	9.45E+22	4	1.24E+22	0	0	-38.7	24.6	
1			1	Ma				Sasajima & Maenaka 1969						64; 64:Kuju region K7, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[796]		Extrusive:Igneous	Lava Flow			0.0000439	0.0000061	13.9		5	33.1	Not Specified	Japan	131.2			LP-PI-TRM	33.1			i			64_Kuju region K7				8.23E+22	5	1.14E+22	9.88E+22	5	1.37E+22	0	0	54.6	26.7	
1			1	Ma				Sasajima & Maenaka 1969						64; 64:Kuju region KP, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[797]		Extrusive:Igneous	Lava Flow			0.0000215	0.0000005	2.3		2	33.1	Not Specified	Japan	131.2			LP-PI-TRM	33.1			i			64_Kuju region KP				4.03E+22	2	9.38E+20	4.9E+22	2	1.14E+21	0	0	65.2	8.6	
3.5			1.5	Ma				Sasajima & Maenaka 1969						64; 64:Kuju region PL, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[798]		Extrusive:Igneous	Lava Flow			0.0000406	0.0000051	12.6		6	33.1	Not Specified	Japan	131.2			LP-PI-TRM	33.1			i			64_Kuju region PL				7.61E+22	6	9.56E+21	8.68E+22	6	1.09E+22	0	0	-65.4	203.5	
3.5			1.5	Ma				Sasajima & Maenaka 1969						64; 64:Kuju region TP, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[801]		Extrusive:Igneous	Lava Flow			0.0000467	0.0000056	12		3	33.1	Not Specified	Japan	131.2			LP-PI-TRM	33.1			i			64_Kuju region TP				8.76E+22	3	1.05E+22	8.42E+22	3	1.01E+22	0	0	84.6	184.4	
4.4			0.5	Ma				Senanayake et al. 1982						67; 67:Iceland EQ42, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[865]		Extrusive:Igneous	Lava Flow			0.0000181	0.0000003	1.7		3	65	Not Specified	Iceland	345			LP-PI-ALT:LP-PI-TRM	65			i			67_Iceland EQ42				2.51E+22	3	4.16E+20	2.62E+22	3	4.34E+20	0	0	33.8	338.9	
1.7			0.1	Ma				Senanayake et al. 1982						67; 67:Iceland GH14, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[867]		Extrusive:Igneous	Lava Flow			0.000101	0.0000021	2.1		2	65.2	Not Specified	Iceland	344.8			LP-PI-ALT:LP-PI-TRM	65.2			i			67_Iceland GH14				1.4E+23	2	2.91E+21	1.4E+23	2	2.91E+21	0	0	-79.9	84.9	
3.05			1.05	Ma				Senanayake et al. 1982						67; 67:Iceland NT004, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[871]		Extrusive:Igneous	Lava Flow			0.0000576	0.0000024	4.2		2	66.2	Not Specified	Iceland	344.2			LP-PI-ALT:LP-PI-TRM	66.2			i			67_Iceland NT004				7.93E+22	2	3.31E+21	8.02E+22	2	3.34E+21	0	0	-56.7	216.1	
1.85			1.65	Ma				Senanayake et al. 1982						67; 67:Mauritius 03, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[876]		Extrusive:Igneous	Lava Flow			0.0000342	0.0000017	5		2	-20.2	Basalt	Mauritius Island	57.3			LP-PI-ALT:LP-PI-TRM	-20.2			i			67_Mauritius 03				7.58E+22	2	3.77E+21	6.89E+22	2	3.43E+21	0	0	81	271.6	
1.85			1.65	Ma				Senanayake et al. 1982						67; 67:Mauritius 05, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[878]		Extrusive:Igneous	Lava Flow			0.0000236	0.0000013	5.5		2	-20.2	Basalt	Mauritius Island	57.3			LP-PI-ALT:LP-PI-TRM	-20.2			i			67_Mauritius 05				5.23E+22	2	2.88E+21	5.24E+22	2	2.89E+21	0	0	-79.8	146.7	
2.73			0.38	Ma				Senanayake et al. 1982						67; 67:Norfolk 34, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[888]		Extrusive:Igneous	Lava Flow			0.0000351	0.0000007	2		4	-29	Basalt	Norfolk Island	167.8			LP-PI-ALT:LP-PI-TRM	-29			i			67_Norfolk 34				6.94E+22	4	1.38E+21	7.77E+22	4	1.55E+21	0	0	75.5	223.4	
1.3			0.7	Ma				Senanayake et al. 1982						67; 67:Reunion 03, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[891]		Extrusive:Igneous	Lava Flow			0.0000237	0.0000006	2.5		2	-21	Basalt	Reunion	55.5			LP-PI-ALT:LP-PI-TRM	-21			i			67_Reunion 03				5.2E+22	2	1.32E+21	5.98E+22	2	1.52E+21	0	0	76.1	55.5	
4			2	Ma				Shaw 1975						69; 69:Hvalfjordur 02, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[935]		Extrusive:Igneous	Lava Flow			0.0000208	0.0000011	5.3		2	64	Basalt	Iceland	338			LP-PI-ALT-AFARM:LP-PI-TRM	64			i			69_Hvalfjordur 02				2.9E+22	2	1.53E+21	4.74E+22	2	2.51E+21	0	0	-2	107	
4			2	Ma				Shaw 1975						69; 69:Hvalfjordur 05, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[938]		Extrusive:Igneous	Lava Flow			0.0000076	0.0000012	15.8		2	64	Basalt	Iceland	338			LP-PI-ALT-AFARM:LP-PI-TRM	64			i			69_Hvalfjordur 05				1.06E+22	2	1.67E+21	1.5E+22	2	2.37E+21	0	0	5	359	
4			2	Ma				Shaw 1975						69; 69:Hvalfjordur 06, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[939]		Extrusive:Igneous	Lava Flow			0.0000054	0.0000003	5.6		2	64	Basalt	Iceland	338			LP-PI-ALT-AFARM:LP-PI-TRM	64			i			69_Hvalfjordur 06				7.53E+21	2	4.19E+20	1.29E+22	2	7.17E+20	0	0	5	114	
4			2	Ma				Shaw 1975						69; 69:Hvalfjordur 12, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[945]		Extrusive:Igneous	Lava Flow			0.0000175	0.0000005	2.9		2	64	Basalt	Iceland	338			LP-PI-ALT-AFARM:LP-PI-TRM	64			i			69_Hvalfjordur 12				2.44E+22	2	6.98E+20	2.27E+22	2	6.49E+20	0	0	71	339	
4			2	Ma				Shaw 1975						69; 69:Hvalfjordur 14, VDM recalculated by MagIC team. VADM calculated using present site lat.														PINT[947]		Extrusive:Igneous	Lava Flow			0.0000061	0.0000025	41		2	64	Basalt	Iceland	338			LP-PI-ALT-AFARM:LP-PI-TRM	64			i			69_Hvalfjordur 14				8.51E+21	2	3.49E+21	1.24E+22	2	5.08E+21	0	0	-9	114	
0.69			0.35	Ma				Tkhoa 1983						76; 76:BC 32 36, VADM calculated using present site lat.														PINT[1023]		Igneous	Not Specified			0.000036	0.000002	5.6		2	13.9	Basalt	Vietnam	107.9			LP-PI-IZ:LT-AF-Z:LP-PI-TRM	13.9			i			76_BC 32 36				8.58E+22	2									
0.69			0.35	Ma				Tkhoa 1983						76; 76:DM 37, VADM calculated using present site lat.														PINT[1025]		Igneous	Not Specified			0.0000345	0.0000015	4.3		2	13.9	Basalt	Vietnam	107.9			LP-PI-IZ:LT-AF-Z:LP-PI-TRM	13.9			i			76_DM 37				8.22E+22	2									
